#Final temperature stored in grid format
#Each column in this file corresponds to column of actual grid, as does each row
7.409638e-02     8.458305e-02     1.052982e-01     1.357317e-01     1.751342e-01     2.225355e-01     2.767684e-01     3.364975e-01     4.002521e-01     4.664623e-01     5.334979e-01     5.997081e-01     6.634627e-01     7.231919e-01     7.774248e-01     8.248261e-01     8.642286e-01     8.946621e-01     9.153772e-01     9.258639e-01     9.258639e-01     9.153772e-01     8.946621e-01     8.642286e-01     8.248261e-01     7.774248e-01     7.231919e-01     6.634628e-01     5.997082e-01     5.334979e-01     4.664624e-01     4.002521e-01     3.364975e-01     2.767684e-01     2.225355e-01     1.751342e-01     1.357317e-01     1.052982e-01     8.458308e-02     7.409641e-02     
1.361649e-01     1.451228e-01     1.628179e-01     1.888146e-01     2.224727e-01     2.629635e-01     3.092900e-01     3.603114e-01     4.147714e-01     4.713291e-01     5.285917e-01     5.851494e-01     6.396094e-01     6.906308e-01     7.369573e-01     7.774481e-01     8.111062e-01     8.371029e-01     8.547980e-01     8.637559e-01     8.637559e-01     8.547981e-01     8.371029e-01     8.111062e-01     7.774481e-01     7.369573e-01     6.906308e-01     6.396094e-01     5.851494e-01     5.285918e-01     4.713291e-01     4.147715e-01     3.603115e-01     3.092901e-01     2.629636e-01     2.224728e-01     1.888147e-01     1.628180e-01     1.451228e-01     1.361650e-01     
1.892758e-01     1.969255e-01     2.120363e-01     2.342363e-01     2.629789e-01     2.975562e-01     3.371170e-01     3.806869e-01     4.271934e-01     4.754911e-01     5.243908e-01     5.726885e-01     6.191950e-01     6.627649e-01     7.023257e-01     7.369030e-01     7.656456e-01     7.878456e-01     8.029564e-01     8.106061e-01     8.106061e-01     8.029565e-01     7.878456e-01     7.656456e-01     7.369030e-01     7.023257e-01     6.627650e-01     6.191950e-01     5.726886e-01     5.243909e-01     4.754911e-01     4.271934e-01     3.806870e-01     3.371170e-01     2.975563e-01     2.629790e-01     2.342364e-01     2.120364e-01     1.969256e-01     1.892760e-01     
2.347376e-01     2.412673e-01     2.541659e-01     2.731159e-01     2.976506e-01     3.271659e-01     3.609350e-01     3.981264e-01     4.378244e-01     4.790514e-01     5.207923e-01     5.620194e-01     6.017173e-01     6.389087e-01     6.726779e-01     7.021931e-01     7.267278e-01     7.456778e-01     7.585765e-01     7.651062e-01     7.651062e-01     7.585765e-01     7.456778e-01     7.267279e-01     7.021932e-01     6.726779e-01     6.389088e-01     6.017174e-01     5.620194e-01     5.207924e-01     4.790515e-01     4.378245e-01     3.981265e-01     3.609351e-01     3.271660e-01     2.976507e-01     2.731161e-01     2.541661e-01     2.412674e-01     2.347377e-01     
2.736701e-01     2.792407e-01     2.902448e-01     3.064113e-01     3.273423e-01     3.525223e-01     3.813313e-01     4.130599e-01     4.469269e-01     4.820984e-01     5.177083e-01     5.528797e-01     5.867467e-01     6.184754e-01     6.472844e-01     6.724644e-01     6.933953e-01     7.095619e-01     7.205659e-01     7.261365e-01     7.261366e-01     7.205659e-01     7.095619e-01     6.933954e-01     6.724644e-01     6.472844e-01     6.184754e-01     5.867468e-01     5.528798e-01     5.177083e-01     4.820985e-01     4.469270e-01     4.130600e-01     3.813314e-01     3.525224e-01     3.273424e-01     3.064115e-01     2.902449e-01     2.792409e-01     2.736703e-01     
3.070326e-01     3.117813e-01     3.211617e-01     3.349429e-01     3.527855e-01     3.742502e-01     3.988085e-01     4.258556e-01     4.547256e-01     4.847075e-01     5.150632e-01     5.450451e-01     5.739151e-01     6.009622e-01     6.255205e-01     6.469852e-01     6.648278e-01     6.786090e-01     6.879894e-01     6.927381e-01     6.927381e-01     6.879895e-01     6.786090e-01     6.648279e-01     6.469852e-01     6.255205e-01     6.009623e-01     5.739152e-01     5.450452e-01     5.150633e-01     4.847076e-01     4.547257e-01     4.258557e-01     3.988086e-01     3.742504e-01     3.527857e-01     3.349431e-01     3.211619e-01     3.117815e-01     3.070328e-01     
3.356471e-01     3.396908e-01     3.476785e-01     3.594137e-01     3.746073e-01     3.928853e-01     4.137975e-01     4.368291e-01     4.614129e-01     4.869436e-01     5.127926e-01     5.383232e-01     5.629071e-01     5.859386e-01     6.068509e-01     6.251288e-01     6.403225e-01     6.520576e-01     6.600454e-01     6.640891e-01     6.640891e-01     6.600454e-01     6.520577e-01     6.403225e-01     6.251289e-01     6.068509e-01     5.859387e-01     5.629071e-01     5.383234e-01     5.127927e-01     4.869437e-01     4.614131e-01     4.368293e-01     4.137977e-01     3.928855e-01     3.746075e-01     3.594139e-01     3.476788e-01     3.396910e-01     3.356474e-01     
3.602188e-01     3.636570e-01     3.704488e-01     3.804269e-01     3.933457e-01     4.088869e-01     4.266681e-01     4.462512e-01     4.671542e-01     4.888623e-01     5.108410e-01     5.325491e-01     5.534520e-01     5.730352e-01     5.908163e-01     6.063576e-01     6.192763e-01     6.292545e-01     6.360463e-01     6.394845e-01     6.394845e-01     6.360463e-01     6.292545e-01     6.192764e-01     6.063577e-01     5.908164e-01     5.730353e-01     5.534521e-01     5.325492e-01     5.108411e-01     4.888624e-01     4.671544e-01     4.462514e-01     4.266683e-01     4.088872e-01     3.933459e-01     3.804272e-01     3.704491e-01     3.636573e-01     3.602191e-01     
3.813531e-01     3.842706e-01     3.900336e-01     3.985004e-01     4.094624e-01     4.226496e-01     4.377375e-01     4.543544e-01     4.720913e-01     4.905113e-01     5.091609e-01     5.275809e-01     5.453177e-01     5.619347e-01     5.770225e-01     5.902098e-01     6.011718e-01     6.096385e-01     6.154016e-01     6.183190e-01     6.183190e-01     6.154016e-01     6.096386e-01     6.011718e-01     5.902099e-01     5.770226e-01     5.619348e-01     5.453179e-01     5.275810e-01     5.091610e-01     4.905114e-01     4.720914e-01     4.543546e-01     4.377377e-01     4.226499e-01     4.094626e-01     3.985006e-01     3.900339e-01     3.842709e-01     3.813534e-01     
3.995710e-01     4.020395e-01     4.069158e-01     4.140796e-01     4.233547e-01     4.345127e-01     4.472788e-01     4.613387e-01     4.763461e-01     4.919316e-01     5.077114e-01     5.232969e-01     5.383043e-01     5.523642e-01     5.651303e-01     5.762883e-01     5.855634e-01     5.927273e-01     5.976035e-01     6.000720e-01     6.000720e-01     5.976035e-01     5.927273e-01     5.855635e-01     5.762884e-01     5.651304e-01     5.523643e-01     5.383045e-01     5.232970e-01     5.077116e-01     4.919318e-01     4.763463e-01     4.613389e-01     4.472791e-01     4.345130e-01     4.233550e-01     4.140799e-01     4.069161e-01     4.020399e-01     3.995714e-01     
